Date,Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),"7 Day Total Sales "
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - soap dispenser for kitchen sink,ENABLED,USD,$20.0,Manual targeting,Fixed bids,8371,,18,,0.22%,$14.32,,$0.7955556,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 9, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - Low Volume Keywords,ENABLED,USD,$20.0,Manual targeting,Fixed bids,37,,1,,2.70%,$0.5,,$0.5,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 9, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - Weak Competitors,ENABLED,USD,$10.0,Manual targeting,Fixed bids,57,,0,,0.00%,$0.0,,$0.0,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - hand and dish soap dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,280,,3,,1.07%,$2.8,,$0.9333333,$0.0,1,7.00%,14.28,$39.99
"Aug 7, 2023","Aug 9, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - Set 10 (1),PAUSED,USD,$10.0,Manual targeting,Fixed bids,12,,0,,0.00%,$0.0,,$0.0,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - kitchen soap dispenser set with tray,ENABLED,USD,$20.0,Manual targeting,Fixed bids,137,,2,,1.46%,$1.4,,$0.7,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - soap and lotion dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,196,,1,,0.51%,$0.86,,$0.86,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - dish and hand soap dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,115,,1,,0.87%,$0.9,,$0.9,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS -  Exact -   kitchen soap dispenser set,ENABLED,USD,$30.0,Manual targeting,Fixed bids,8023,,20,,0.25%,$15.84,,$0.792,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS -Exact - soap dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,1323,,6,,0.45%,$4.8,,$0.8,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - bathroom soap dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,605,,3,,0.50%,$2.1,,$0.7,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 9, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - Top 3,PAUSED,USD,$12.0,Manual targeting,Fixed bids,1839,,12,,0.65%,$7.24,,$0.6033333,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 9, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - Exact - Main Competitors (10),ENABLED,USD,$20.0,Manual targeting,Fixed bids,198,,4,,2.02%,$3.6,,$0.9,$0.0,0,0.00%,0.00,$0.0
"Aug 7, 2023","Aug 10, 2023",,Rome Soap Dispenser Set,Sponsored Products,RSDS - black soap dispenser set,ENABLED,USD,$20.0,Manual targeting,Fixed bids,74,,0,,0.00%,$0.0,,$0.0,$0.0,0,0.00%,0.00,$0.0
